objectid,joinid,permyear,county,jurisdictn,apn,address,zip,projname,hcategory,vlowdr,vlowndr,vlowtot,lowdr,lowndr,lowtot,moddr,modndr,modtot,amodtot,totalunit,tenure,mapped,mapnotes,pda,pdacycle,pdajoinid,tpa,tpacycle,hsngsite,rhnacycle,notes,ObjectId2
,6d9778a0-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7061 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,53
,657ce2f2-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,38972 Primula Terrace,94560,"D.R. Horton Bay, Inc",5+,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,54
,319d9e86-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,052 156501300,2954 RUSSELL St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,55
,657c4946-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8554 Dunes Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,Mapped by hand,Y,2017,NEW1,N,,Y,2015-2023,NULL,56
,657c4b8a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8555 Dunes Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,Mapped by hand,Y,2017,NEW1,N,,Y,2015-2023,NULL,57
,657c4de2-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8551 Dunes Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,Mapped by hand,Y,2017,NEW1,N,,Y,2015-2023,NULL,58
,657c501c-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8536 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,59
,657c542c-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8528 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,60
,657c5670-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8527 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,61
,657c58aa-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8519 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,62
