Jurisdiction Name,Site Address/Intersection,5 Digit ZIP Code,Assessor Parcel Number,Consolidated Sites,General Plan Designation (Current),Zoning Designation (Current),Minimum Density Allowed (units/acre),Max Density Allowed (units/acre),Parcel Size (Acres),Existing Use/Vacancy,Infrastructure,Publicly-Owned,Site Status,Identified in Last/Last Two Planning Cycle(s),Lower Income Capacity,Moderate Income Capacity,Above Moderate Income Capacity,Total Capacity,Optional Information 1,Optional Information 2,Optional Information 3,
MOUNTAIN VIEW,FAYETTE DR,94040,14816013,A,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.32,Parking lot (serving adjacent multi-tenant retail) -  average FAR: 0.15 for adjoining sites at 2630 W El Camino Real and Fayette Drive (APN 14816013); Year Built: Not Applicable (no building on site); part of a consolidated site with common ownership with potential to develop as one project,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,4,0,4,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,FAYETTE DR,94040,14816014,F,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.15,Parking lot (serving adjacent retail) - FAR: 0; Year Built: Not Applicable (no building on site),Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,9,0,0,9,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2600 W EL CAMINO REAL,94040-1117,14816015,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.50,one-story bank that is part of a multi-tenant shopping center - FAR: 0.19; Year Built: 1972,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,6,0,6,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,630 SAN ANTONIO RD,94040,14816016,F,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,2.82,"one-story vacant, single tenant grocery store - FAR: 0.292; Year Built: 1972",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,150,20,0,170,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,608 SAN ANTONIO RD,94040-1304,14816017,Not Applicable,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,1.03,one-story single tenant bank - FAR: 0.222; Year Built: 1970,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,61,0,0,61,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,100 SAN ANTONIO CL,94040-1210,14817001,Not Applicable,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.51,one-story glass retailer/service - FAR: 0.258; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,30,0,30,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2560 W EL CAMINO REAL,94040-1307,14821008,Not Applicable,Mixed-Use Center,P(40) - San Antonio Precise Plan,0,~65,0.75,one-story single tenant restaurant  - FAR: 0.175; Year Built: 1981,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,29,0,29,Opportunity Site ,Maximum Density set by FAR (2.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,2464 W EL CAMINO REAL,94040-1421,14828005,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.61,"one-story six-unit retail (beauty, wellness, acupuncture, restaurant)  - FAR: 0.167; Year Built: 1984",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,37,0,37,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,2320 W EL CAMINO REAL ,94040-1420,14836001,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.40,one-story vacant single tenant retail - FAR: 0.39; Year Built: 1969; a chain link fence surrounds the site,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,24,0,24,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2124 W EL CAMINO REAL,94040-1612,14836027,B,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.74,"one-story vacant, single tenant retail - FAR: 0.402; Year Built: 1960;  chain link fence surrounds the adjoining parcels at 2116 and 2100 W El Camino Real; 2116, 2100, and 2124 W El Camino Real are under the same ownership",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,43,0,0,43,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
