Jurisidiction,County,Reporting Year,Prior APN,APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Entitled Very Low Income Deed (Restricted),Entitled Very Low Income Non-Deed (Restricted),Entitled Low Income Deed (Restricted),Entitled Low Income Non-Deed (Restricted),Entitled Moderate Income Deed (Restricted),Entitled Moderate Income Non-Deed (Restricted),Entitled Above Moderate Income,Entitlement Date Approved,Total Units Entitled,Permitted Very Low Income Deed (Restricted),Permitted Very Low Income Non-Deed (Restricted),Permitted Low Income Deed (Restricted),Permitted Low Income Non-Deed (Restricted),Permitted Moderate Income Deed (Restricted),Permitted Moderate Income Non-Deed (Restricted),Permitted Above Moderate Income,Permit Date Issued,Total  Units Permitted,Completed Very Low Income Deed (Restricted),Completed Very Low Income Non-Deed (Restricted),Completed  Low Income Deed (Restricted),Completed Low Income Non-Deed (Restricted),Completed  Moderate Income Deed (Restricted),Completed Moderate Income Non-Deed (Restricted),Completed  Above Moderate Income,Completed Date,Total Units Completed,Total Extremely Low Income Units,SB 35 Approved?,Infill Unit?,Financial Assistance Program,Deed Restriction Type,Affordable Without Financial Assistance Notes,Years of Affordability,Demolished/Destroyed Units,Demolished or Destroyed?,Tenure Type of Demolished/Destroyed Unit,Notes
MOUNTAIN VIEW,SANTA CLARA,2018,"147-17-002, 148-18-015","147-17-002, 148-18-015",2580 California Street,,PL-2017-072,5 or More Units Per Structure,Renter,0,0,14,0,18,0,600,6/26/18 0:00,632,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,INC,,55,,,,Affordable units provided in exchange for reduced rental impact fee requirement.
MOUNTAIN VIEW,SANTA CLARA,2020,,148-16-008,2645-2655 Fayette Drive,2645-2655 Fayette Drive,PL-2018-024,5 or More Units Per Structure,Owner,4,0,1,0,0,0,33,11/17/20 0:00,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55,6,Demolished,R,148-16-009
MOUNTAIN VIEW,SANTA CLARA,2020,,153-15-015,1001 North Shoreline Boulevard,1001 North Shoreline Boulevard,PL-2017-183,5 or More Units Per Structure,Renter,0,0,30,0,0,0,173,8/25/20 0:00,203,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,INC,,55,,,,"153-15-016, 153-15, 028"
MOUNTAIN VIEW,SANTA CLARA,2020,,160-52-013,355-415 East Middlefield Road,355-415 East Middlefield Road,PL-2018-206,5 or More Units Per Structure,Renter,0,0,27,0,41,0,202,5/5/20 0:00,270,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,INC,,1000,,,,160-52-021
MOUNTAIN VIEW,SANTA CLARA,2020,,153-15-015,1001 North Shoreline Boulevard,1001 North Shoreline Boulevard,PL-2017-183,5 or More Units Per Structure,Owner,0,0,0,0,10,0,90,8/25/20 0:00,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,INC,,55,,,,"153-15-016, 153-15, 028"
MOUNTAIN VIEW,SANTA CLARA,2020,,158-12-069,325-229 Franklin Street,325-229 Franklin Street,497-14-PCZA,5 or More Units Per Structure,Owner,0,0,0,0,0,0,2,12/8/20 0:00,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,N,Y,,,,,13,Demolished,R,"158-12-048, 158-12-067, 158-12-068"
MOUNTAIN VIEW,SANTA CLARA,2020,,153-03-022,851-853 Sierra Vista Avenue,851-853 Sierra Vista Avenue,PL-2019-022,Single-Family Attached Unit,Owner,0,0,0,0,0,0,6,1/14/20 0:00,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,3,Demolished,O,"153-03-006, 153-03-007"
MOUNTAIN VIEW,SANTA CLARA,2020,,160-52-013,355-415 East Middlefield Road,355-415 East Middlefield Road,PL-2018-206,5 or More Units Per Structure,Owner,0,0,0,0,0,0,157,5/5/20 0:00,157,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,160-52-021
MOUNTAIN VIEW,SANTA CLARA,2019,,154-02-001,1720 Villa Street,,PL-2017-354,5 or More Units Per Structure,Renter,0,0,34,0,0,0,173,6/4/19 0:00,207,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,N,Y,,INC,,55,19,Demolished,R,"16 apartments, 3 SFR demolished"
MOUNTAIN VIEW,SANTA CLARA,2021,,"154-21-013, 154-21-007, 154-21-008, 154-21-009, 154-21-010, 154-21-011, 154-21-012",1919-1933 GAMEL WAY & 574 ESCUELA AVE &1970 Latham,,PL-2019-211,5 or More Units Per Structure,Owner,9,0,20,0,0,0,63,9/28/21 0:00,92,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,N,Y,,DB,,1000,29,Demolished,R,121 unit condo to replace 29 apartments
MOUNTAIN VIEW,SANTA CLARA,2021,,160-58-002,400 LOGUE AVE,,PL-2019-406,5 or More Units Per Structure,Renter,8,0,16,0,38,0,346,6/22/21 0:00,408,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,N,Y,,INC,,1000,,,,Demo office for 408 units
MOUNTAIN VIEW,SANTA CLARA,2021,,"148-36-003, 148-36-035, 148-36-036",570 S RENGSTORFF AVE,,PL-2019-182,Single-Family Attached Unit,Owner,0,0,0,0,0,0,15,9/14/21 0:00,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,N,Y,,,,,70,Demolished,R,85 rowhomes to replace 70 apartments
MOUNTAIN VIEW,SANTA CLARA,2021,,193-22-003,773 CUESTA DR,,PL-2020-184,Single-Family Detached Unit,Owner,0,0,0,0,0,0,3,5/25/21 0:00,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,N,Y,,,,,1,Demolished,,4 SFR to replace 1 SFR
MOUNTAIN VIEW,SANTA CLARA,2021,,160-37-005,198 Easy Street,,PL-2018-087,Single-Family Attached Unit,Owner,0,0,0,0,0,0,4,5/11/21 0:00,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,N,Y,,,,,1,Demolished,,5 Rowhomes to replace 1 SFR
MOUNTAIN VIEW,SANTA CLARA,2021,,160-32-002 and 160-32-001,294-296 TYRELLA AVE,,PL-2018-300,Single-Family Attached Unit,Owner,0,0,0,0,0,0,10,11/16/21 0:00,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,N,Y,,,,,1,Demolished,,11 rowhomes replace 1 SFR
MOUNTAIN VIEW,SANTA CLARA,2020,,15-026-007-,460 N SHORELINE BL,460 N SHORELINE BL,2016-0799,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,50,0,0,0,0,11/2/20 0:00,50,,N,Y,LIHTC,,,55,12,Demolished,R,Net new units 50 (replacing the 12 rental units)
MOUNTAIN VIEW,SANTA CLARA,2020,,158-07-019,950 West El Camino Real,950 West El Camino Real,2019-2275,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,42,0,28,0,0,0,1,6/29/20 0:00,71,0,0,0,0,0,0,0,,0,,N,Y,LIHTC,,,55,,,,City Affordable Housing Development NOFA
MOUNTAIN VIEW,SANTA CLARA,2020,,148-16-045,400  SAN ANTONIO RD,400 San Antonio Rd,2017-3007,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,48,0,0,0,90,9/3/20 0:00,138,,N,Y,,Other,,55,,,,Local Public Benefit Program
MOUNTAIN VIEW,SANTA CLARA,2021,,148-29-024,398  ORTEGA AV,394 Ortega Ave,2016-4500,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,5,0,0,0,139,3/1/21 0:00,144,144,N,Y,,Other,,55,,,,Voluntary developer agreement to provide Rental Housing Impact Fee as units. The agreement stipulates the units will be below-market for at least 55 years.
MOUNTAIN VIEW,SANTA CLARA,2020,,154-02-001,1720 Villa Street,1720 Villa Street,PL-2017-354,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,204,7/21/20 0:00,207,0,0,0,0,0,0,0,,0,,N,Y,,INC,,1000,19,Demolished,R,"154-02-002, 154-03-019, 154-03-020, 154-03-021, 154-03-022"
MOUNTAIN VIEW,SANTA CLARA,2020,,148-17-003,2580-2590 California Street,2580-2590 California Street,PL-2017-072,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,14,0,18,0,600,12/4/20 0:00,632,0,0,0,0,0,0,0,,0,,N,Y,,INC,,55,,,,"148-17-002, 148-18-015"
